episode,score,steps,epsilon,lr,loss,avg_v,grad_norm
372,73,11,0.9791,0.00004948,5.9135,46.3217,0.0000
373,29,9,0.9790,0.00004948,6.6587,40.6364,0.0000
374,37,9,0.9790,0.00004947,9.1951,42.8508,0.0000
375,40,9,0.9789,0.00004947,6.7228,44.9484,0.0000
376,39,11,0.9788,0.00004947,6.4588,45.4669,0.0000
377,39,10,0.9788,0.00004947,4.6946,42.4349,0.0000
378,41,9,0.9787,0.00004947,7.2413,45.0162,0.0000
379,34,7,0.9787,0.00004947,6.6588,45.8833,0.0000
380,75,13,0.9786,0.00004947,5.8721,46.3700,0.0000
381,40,11,0.9786,0.00004946,7.4459,42.7858,0.0000
382,50,9,0.9785,0.00004946,7.2480,45.4472,0.0000
383,42,7,0.9785,0.00004946,6.4149,50.4600,0.0000
384,125,19,0.9784,0.00004946,5.2452,45.6840,0.0000
385,78,13,0.9783,0.00004946,4.5220,48.1057,0.0000
386,45,11,0.9783,0.00004946,6.8476,44.2339,0.0000
387,38,8,0.9782,0.00004946,5.0811,45.8643,0.0000
388,56,11,0.9782,0.00004945,6.0390,45.8954,0.0000
389,44,13,0.9781,0.00004945,5.6723,47.0961,0.0000
390,78,16,0.9781,0.00004945,5.9248,48.8800,0.0000
391,58,13,0.9780,0.00004945,7.2304,48.7137,0.0000
392,33,8,0.9779,0.00004945,3.8966,47.0174,0.0000
393,56,13,0.9779,0.00004945,5.2737,52.9356,0.0000
394,35,9,0.9778,0.00004945,5.9039,50.2697,0.0000
395,54,11,0.9778,0.00004944,6.8526,50.4094,0.0000
396,71,10,0.9777,0.00004944,4.3888,51.4266,0.0000
397,34,8,0.9777,0.00004944,5.4446,48.0313,0.0000
398,34,8,0.9776,0.00004944,6.0138,50.2669,0.0000
399,72,12,0.9776,0.00004944,5.3215,55.0044,0.0000
400,325,26,0.9775,0.00004944,6.0025,60.8342,0.0000
401,54,11,0.9774,0.00004944,7.3976,55.2582,0.0000
402,92,15,0.9774,0.00004943,7.2274,53.0805,0.0000
403,32,9,0.9773,0.00004943,5.0521,47.4783,0.0000
404,37,10,0.9773,0.00004943,5.2081,46.8077,0.0000
405,60,13,0.9772,0.00004943,5.4599,55.5816,0.0000
406,53,9,0.9772,0.00004943,5.8280,49.4487,0.0000
407,49,9,0.9771,0.00004943,6.3724,50.0634,0.0000
408,33,8,0.9770,0.00004943,8.7743,48.5921,0.0000
409,112,18,0.9770,0.00004942,6.3416,51.9180,0.0000
410,52,10,0.9769,0.00004942,4.7732,53.0921,0.0000
411,39,10,0.9769,0.00004942,6.3741,47.8353,0.0000
412,43,12,0.9768,0.00004942,4.9342,48.7046,0.0000
413,37,8,0.9768,0.00004942,7.1061,51.2218,0.0000
414,57,11,0.9767,0.00004942,6.2333,52.3042,0.0000
415,45,10,0.9767,0.00004942,6.0912,48.9022,0.0000
416,110,14,0.9766,0.00004942,5.9039,56.3193,0.0000
417,42,10,0.9765,0.00004941,7.1845,48.0866,0.0000
418,59,8,0.9765,0.00004941,3.3281,55.5011,0.0000
419,105,20,0.9764,0.00004941,4.5789,51.1868,0.0000
420,234,21,0.9764,0.00004941,6.3399,61.9340,0.0000
421,38,10,0.9763,0.00004941,5.4097,50.7862,0.0000
422,54,11,0.9763,0.00004941,7.3779,48.5137,0.0000
423,33,8,0.9762,0.00004941,7.9839,47.6575,0.0000
424,35,8,0.9761,0.00004940,4.9348,48.3991,0.0000
425,90,16,0.9761,0.00004940,5.5003,59.7199,0.0000
426,39,10,0.9760,0.00004940,5.0886,48.2655,0.0000
